repository,case_count,ready_case_count,reference_only_case_count,range_commit_rows,malicious_commit_rows,malicious_file_rows,case_ids,dataset_status
ardupilot,1,1,0,50,1,2,ardupilot,ready
daylight-savings-dos,1,1,0,44,2,6,daylight_savings_dos,ready
dosik-database-attack,1,1,0,96,6,26,dosik_database_attack,ready
movie-tracker,1,1,0,10,1,1,movie_tracker,ready
new_features,1,0,1,0,0,0,new_features_reference,contains_reference_only_case
OpenTripPlanner,1,1,0,50,2,5,opentripplanner,ready
Ori-Fleetbase-v4,1,1,0,53,1,6,ori_fleetbase_v4,ready
PrivateSupplyChainDataset-MapStore2,1,1,0,20,3,3,mapstore2,ready
record-store-app,1,1,0,13,1,2,record_store_app,ready
rich,1,1,0,1,1,10,rich,ready
rocket_chat_hidden_license,1,1,0,1,1,2,rocket_chat_hidden_license,ready
RocketChat,1,1,0,50,5,11,rocketchat_suite,ready
rocketchat-hoch,1,1,0,50,1,1,rocketchat_hoch,ready
rocketchat-license,1,1,0,1,1,1,rocketchat_license,ready
rocketchat-roni,2,2,0,5,5,5,rocketchat_roni_cache;rocketchat_roni_mutex,ready
rocketchat_licence_payload,1,1,0,2,2,2,rocketchat_licence_payload,ready
rocketchat_yarn_implant,1,1,0,1,1,1,rocketchat_yarn_implant,ready
rocketchat_yarn_implant2,1,1,0,1,1,1,rocketchat_yarn_implant2,ready
RocketChatSarielAttempt2,1,1,0,5,2,2,rocketchat_sariel_attempt2,ready
RocketChatSarielAttempt5,1,1,0,10,3,4,rocketchat_sariel_attempt5,ready
rolling-deploy-delete-all,1,1,0,12,3,6,rolling_deploy_delete_all,ready
StackStorm1,1,1,0,50,1,1,stackstorm1,ready
StackStorm2,1,1,0,50,1,1,stackstorm2,ready
traccar,1,1,0,50,4,4,traccar,ready
wiki1,1,1,0,50,4,4,wiki1,ready
wiki2,1,1,0,50,5,8,wiki2,ready
wikijs-hoch,1,1,0,17,2,8,wikijs_hoch,ready
yael_snipeIT,1,1,0,120,1,1,yael_snipeit,ready
